"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Estonia","EST","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","3.7","2.4","1.7","1.1","1.1","1.4","2","1.8","1.6","1.8","1.6","1","0.8","0.6","0.5","0.8","0.6","","",
"Ethiopia","ETH","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.5","","","","67.1","","","","","57.2","","","","","","54.6","","","","","51","","","","","","","",
"European Union","EUU","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.1","58.2","58.5","58.2","57.6","56.9","58.1","","55.5","55.1","54.8","52.3","50.7","49.7","48.9","47.9","47.5","46.3","45.9","45.4","45","44.4","46.4","46.2","46.3","46.2","","","","",
"Finland","FIN","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","0.1","","","","0","","","","","0.1","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","","",
"Fiji","FJI","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8","","","","","","12.1","","","","","10.5","","","","","","16.4","","","",
"France","FRA","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","0.8","","","","","0.8","","","","0.5","","","","","0.6","","","","","","0.2","","","","","","0.3","0.2","0.1","0.2","0.2","0.1","0.1","0.2","0.1","0.1","0.1","0","0","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0","0.1","0.1","0.2","","",
"Faroe Islands","FRO","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","36.6","","","","","","","","","",
"Gabon","GAB","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5","","","","","","","","","","","","10.4","","","","","",
"United Kingdom","GBR","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","0.3","0.4","0.3","0.3","0.5","0.1","0.3","0.3","0.2","0.3","0.1","0.2","0.2","0.3","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.3","0.3","0.2","0.3","0.3","0.5","0.4","0.3","0.3","0.4","0.3","0.3","0.4","0.4","0.4","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.3","0.4","0.4","0.4","0.4","0.5","0.5","0.6","","",
"Georgia","GEO","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2","36.3","35.5","40.7","42.5","44","32.8","32.8","30.9","32.4","32.8","34.2","31.4","31.6","32.6","31.3","28.3","24.7","22.3","21.3","20.9","21","20.5","19.9","22.3","20.5","",
"Ghana","GHA","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","66.4","","","68.9","","","","","","","63.5","","","","","","","56.6","","","","","","","43.5","","","","41.9","","","","","","",
"Gibraltar","GIB","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","53.8","","","","","","","","62.7","","","","","59.2","","","","","48.5","","","","","","40.8","","","","",
"Gambia, The","GMB","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.2","","","","","59.6","","","","","","","48.3","","","","","38","","","","","39.7","","",
"Guinea-Bissau","GNB","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.5","","","","","","","","","64.1","","","","","","","","68.7","","","","","","","","45.7","","","","",
