"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cuba","CUB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","576.43","698.71","888.57","949.4","956.5","1003.81","953.97","792.51","788","961.5","1226.33","1099.8","1159.75","1421.47","1298.38","1514.66","1518.44","1564.12","1466.39","1339.17","1142.94","1127.54","1149.62","1094.27","1287.89","","",
"Curacao","CUW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.99","118.96","111.63","118.22","158.13","134.94","196.94","178.93","253.94","316.17","350.6","427","503.25","650.21","694.54","745.11","782.33","945.53","888.54","926.12","1045.73","1205.27","1247.91","1321.39","1485.23","","",
"Czechia","CZE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4361.86","4616.99","4599.59","4929.16","5330.3","5742.18","6038.75","6364.93","6965.16","7800","8717.82","9913.27","10620.63","10891.11","12315.27","13210.79","13563.95","13580.63","14923.01","16283.19","16133.14","16186.38","15581.15","16118.82","14994","","",
"Germany","DEU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64230.05","68275.18","69447.96","67533.92","69738.56","71531.01","71994.35","73156.37","76137.67","84243.62","85981.08","88887.79","92026.37","95032.6","97255.35","99987.37","104122.44","104648.18","106365.98","106343.65","107804.05","107880.17","107580.88","108725.2","109378.75","","",
"Djibouti","DJI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11","5","1.93","0.17","2","0.64","1.28","1.33","1.88","3.71","2.71","3.28","2.82","8.12","6.87","4.24","7.42","6.45","7.01","5.71","4.19","5.24","6.16","5.68","8.84","","",
"Dominica","DMA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.65","0.64","3.81","0","0","4.26","2","4.58","2.16","5.27","4.19","3.94","5.22","4.22","8.78","6.94","11.84","12.08","9.21","10.28","10.55","11.34","11.67","6.15","6.42","","",
"Denmark","DNK","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6360.3","7107.29","6822.62","6717.74","7180.91","7158.33","7190.23","7483.65","7880.22","8399.92","8612.3","8966.09","9264.81","9711.66","10233.42","11366.19","12269.14","12804.85","14024.94","14105.29","14186.1","14405.93","14500.93","14532.28","15318.52","","",
"Dominican Republic","DOM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.24","12.84","9.98","10.66","13.3","8.14","8.46","11.53","13.74","13.88","18.1","21.12","17.08","15.46","17.26","19.34","25.65","39.39","41.42","34.83","36.63","46.61","53.31","70.52","84.65","","",
"Algeria","DZA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224.92","258.62","300.8","311","381.8","447.43","488.66","624.4","844.82","889.58","1269.15","1385.81","1730.93","2086.28","2073.64","2394.55","2976.28","3369.99","3521.08","4019.83","4458.62","5120.48","5216.34","6058.88","5689.02","","",
"East Asia & Pacific (excluding high income)","EAP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36171.0880166879","40285.719188958","46847.4231483403","48484.9289561967","57409.6101284282","74709.8714988738","80016.7081439108","93208.76641058","127185.390229106","173248.646529494","201989.479178856","223702.54107146","261302.333610465","302319.003650193","329945.316984926","348338.36089021","354858.82","385120.61","416167.71","440800.87","476322.57","516994.25","591763.53","686060.96","750817.29","","",
"Early-demographic dividend","EAR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53177.3788638443","55865.1598555465","57062.3332812024","59988.0516530089","62913.6800245579","67381.1928081371","74370.1948280416","82381.626161293","90769.6344971949","101771.830498426","116907.371185861","128595.815331099","142892.044850289","160155.978800725","177086.206243839","201044.14802613","214326.81","227202.58","245170.46","261297.04","287674.42","308252.25","343790.22","381495.42","432489.74","","",
"East Asia & Pacific","EAS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171297.034163032","183859.173637401","192525.848659497","200340.758812157","215660.599553647","237265.405781373","248146.926188677","270713.686295828","318333.415082819","386196.986433449","427291.724241339","453474.648757711","496271.655883706","545209.63466972","582728.94999047","612238.568134391","620621.270438957","655446.260497725","687064.78857417","709707.335157168","746116.930152592","786358.669326553","865640.402510824","964757.184756459","1038821.46583068","","",
"Europe & Central Asia (excluding high income)","ECA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52844.2321328866","52514.3221249308","53989.4896624116","51894.3304055932","52159.6531364034","59499.1545816723","61123.8932076297","61894.4312738908","65239.3580138034","67342.0676585978","63324.5271898142","67288.7220702167","69780.99","74884.88","77588.73","81976.64","84515.27","89129.22","95121.74","104629.62","117301.84","124494.61","135660.93","154537.54","164820.38","","",
"Europe & Central Asia","ECS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","402442.666096274","418071.014656529","422292.995323536","417790.430005835","436826.418227288","449466.609088763","462217.482876365","476961.589191214","505639.065709137","550237.256705966","570815.894677486","595578.727589653","620996.557179424","647782.161735735","664431.209494673","690967.662525755","716098.255543354","731725.288887481","749663.138357085","763694.039428468","778894.953341441","788030.272522411","801793.115882243","833687.00192671","876946.286859746","","",
"Ecuador","ECU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.78","99.62","94.52","66.82","73.7","60.41","91.3","98.81","93.53","131.53","131.33","143.23","150.8","178.88","191.29","169.82","244.8","259.38","393.39","638.14","1125.33","1586.96","2100.33","2308.59","2847.83","","",
"Egypt, Arab Rep.","EGY","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2351.45","2342.28","2402.36","2404.74","2682.75","2953.45","3020.31","3419.01","3536.4","3583.01","3909.76","4412.85","4834.3","5971.34","6527.11","7172.97","8206.6","8436.29","8878.42","9620.87","10948.46","11000.53","12944.42","15216.46","18469.18","","",
