,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",Gini index,GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",GDP per capita
75,Czechia,2012,99.8166580200195,0.5524599850177765,3.28762306610408,26.1,208857719320.649,5.247882521396885,14.893624782562249,17.3434906005859,10510785.0,6.98,6.93,78.0756097560976,3.6502,19870.80121234037
77,France,2012,80.487663269043,0.7385150194168091,1.95419531613507,33.1,2683671716967.19,6.76717417600158,8.559414863586426,25.9517593383789,65662240.0,9.4,6.34,81.9682926829268,3.1636,40870.85236457346
78,United Kingdom,2012,99.8083190917969,0.9003350138664246,2.57323479654528,33.1,2706340967030.68,3.39179412251166,8.68155527114868,36.9503593444824,63700215.0,7.88,2.81,80.9048780487805,2.6667,42485.58606953964
80,Greece,2012,66.61339569091797,0.5135349929332735,1.50152696177748,36.3,242029307133.408,3.146085112067145,2.277089953422545,22.255849838256836,11045011.0,24.44,4.45,80.6341463414634,5.9213,21912.998287951727
81,Hungary,2012,98.2855682373047,0.6385466655095421,5.65214517088651,30.8,128814279315.132,5.028018122401085,8.308993180592854,21.0102405548096,9920362.0,11.0,7.0,75.0634146341463,3.1062,12984.836573013365
82,Indonesia,2012,45.71714210510253,0.0321299992501736,4.27949999641976,40.5,917869913365.243,5.32600158064744,0.5404600203037265,8.320995092391968,250222695.0,4.47,0.83,68.973,0.2007,3668.212083501231
83,Israel,2012,86.1581115722656,1.4294999837875366,1.67920719398055,41.6,262282344091.849,4.698293490021564,12.472763379414866,44.6699714660645,7910500.0,6.86,3.1,81.7048780487805,3.4997,33156.22831576373
85,"Korea, Rep.",2012,82.16247558593754,0.6753550171852115,2.18707104433313,31.6,1278427634342.59,11.5225716233636,3.994189977645875,34.543240229288735,50199853.0,2.81,10.25,80.819512195122,2.0798,25466.760517059483
86,Lithuania,2012,91.415168762207,0.506733347972234,3.08998277055416,35.1,42927454291.478,7.94538957939705,13.60163497924805,29.3347702026367,2987773.0,13.36,7.45,73.8634146341464,4.1384,14367.70942487197
87,Latvia,2012,98.9310073852539,0.5320499936739603,2.25778924374594,35.2,28169902669.3784,6.09902241547557,11.18135499954225,27.2100105285645,2034319.0,15.05,5.89,73.7780487804878,3.0913,13847.337939319448
88,Moldova,2012,95.0330429077148,0.1101366654038429,4.54633427355305,29.2,8709138767.2078,7.2405716067240755,0.7476466496785483,32.61395835876465,2860324.0,5.58,6.23,69.143,2.4135,3044.8084787624757
89,Mexico,2012,58.0119209289551,0.1341275013983247,4.11150981070293,48.7,1201093787127.42,11.254109459086749,1.4815299808979052,16.3126907348633,115755909.0,4.89,1.03,74.574,2.1118,10376.090495107424
91,Netherlands,2012,89.8591079711914,0.5608433485031127,2.45554765291609,27.6,838923319919.531,4.553269485969805,10.452956835428866,29.2833499908447,16754962.0,5.82,3.75,81.1048780487805,3.2463,50070.14160459039
93,Panama,2012,61.490291595459,0.255290001630783,5.69819940307865,51.7,40429700000.0,10.88602180134541,2.37209010124207,21.3589096069336,3754862.0,3.717,2.33,76.819,1.5979,10767.293178817225
95,Portugal,2012,47.2301597595215,0.46951499581337,2.77333854051579,36.0,216224240577.957,4.35284471492313,13.7290654182434,15.2353897094727,10514844.0,15.53,3.41,80.3731707317073,4.2361,20563.713601262843
97,Romania,2012,88.9144134521484,0.0810699984431267,3.33492267693443,36.5,179132893143.417,4.04442330649708,9.26996040344238,13.2501697540283,20058035.0,6.79,6.6,74.4121951219512,2.5887,8930.72991164972
98,Serbia,2012,86.07316207885742,0.3511499986052512,7.33038589596636,39.9,43309252921.0567,3.29628637409932,1.58804999291897,17.738668441772464,7199077.0,24.0,5.44,74.8365853658537,2.4961,6015.945227569688
100,Slovenia,2012,96.8689804077148,1.69505000114441,2.5974138603901,25.6,46577793184.0031,7.33255210813689,13.85380983352665,23.6669502258301,2057159.0,8.84,4.54,80.1243902439024,2.5406,22641.805122502978
101,Sweden,2012,88.334358215332,1.1827933390935266,0.8883775069237,27.6,552483727282.802,4.990884779030055,10.627693176269531,29.9020690917969,9519374.0,7.98,2.66,81.7048780487805,3.9586,58037.82131921721
102,Turkiye,2012,51.1371307373047,0.3443233370780943,8.89156996512164,40.2,880555912745.582,5.39842011797903,1.64839331309001,13.3758897781372,75277439.0,8.15,2.66,75.678,1.7384,11697.474362080544
103,United Arab Emirates,2013,70.7103881835938,2.53628993034363,1.10111836375709,32.5,400218529748.128,23.5916068498346,15.6931295394897,34.8598899841309,8751847.0,2.032,1.15,78.853,1.7413,45729.60767574296
104,Belgium,2013,81.5879364013672,0.53439998626709,1.11309594027537,27.7,521791015247.064,6.211664640783519,12.3793001174927,30.5247802734375,11159407.0,8.43,5.93,80.5878048780488,2.9585,46757.95185596009
105,Bolivia,2013,51.923828125,0.251570001244545,5.73640023719613,47.6,30659338885.6729,9.121431773520971,1.4216749668121351,25.3266096115112,10743349.0,2.44,1.12,67.021,0.8319000000000001,2853.7971619159816
106,Brazil,2013,55.8442993164063,0.204339995980263,6.204310666401,52.7,2472819362259.0,12.805717052335751,0.764900028705597,12.6315698623657,201721767.0,7.07,2.25,73.918,1.882,12258.564849171682
107,Switzerland,2013,96.55035146077478,2.9269634087880436,-0.217323155115639,32.5,706234937370.968,5.6852903582205006,18.716999689737964,33.92062218983968,8089346.0,4.75,4.85,82.7975609756098,4.0303,87304.33058135578
108,Cyprus,2013,79.6970520019531,0.535179972648621,-0.399357676464408,37.0,23959708956.2928,5.270300515903925,10.153580029805486,34.2331199645996,1166968.0,15.87,3.41,80.402,2.4076,20531.590374622785
109,Czechia,2013,99.7996520996094,0.5858866572380067,1.43829787234043,26.5,211685616592.931,5.247882521396885,15.199336369832366,18.2811603546143,10514272.0,6.95,6.7,78.1756097560976,3.6628,20133.169143135256
111,Dominican Republic,2013,55.2390403747559,0.0,4.830950967408,47.7,62682158700.2885,12.82581644870505,1.19762003421783,10.8585901260376,10157051.0,7.35,1.79,72.713,1.5268,6171.295063920473
112,Spain,2013,71.73098246256511,0.687120020389557,1.40858109183012,36.2,1355579535912.56,3.51312967279382,12.5373201370239,27.86139488220213,46620045.0,26.09,2.96,83.0780487804878,3.7857,29077.18205575649
113,France,2013,81.5009994506836,0.7606200178464254,0.863715497861826,32.5,2811876903329.05,6.76717417600158,8.740596453348799,27.1911201477051,66002289.0,9.92,6.28,82.219512195122,3.1811,42602.71796526708
114,United Kingdom,2013,99.8322906494141,0.916410028934479,2.29166666666666,32.7,2786315215249.95,3.39179412251166,8.57874011993408,37.8567390441895,64128273.0,7.52,2.76,81.0048780487805,2.6774,43449.09171731399
