,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",Country Name,Gini index,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $6.85 a day (2017 PPP) (%),GDP per capita
13837,2012,87.2148971557617,0.0896200016140938,2.03159268395298,12319834233.2904,5.13416760461897,12.3307304382324,12.8996601104736,2900401.0,13.38,2.88,78.064,1.2683,Albania,29.0,4.8,36.7,0.1,1.0,0.6,9.5,4247.631356247084
13846,2012,99.5548477172852,0.835065007209778,2.48567562177017,409401816050.531,5.40540698866054,10.651150226593,18.0068302154541,8429991.0,4.87,7.67,80.9365853658537,4.8859,Austria,30.5,0.7,1.1,0.4,0.5,0.6,0.7,48564.917335087426
13849,2012,80.2901916503906,0.5384499927361807,2.83966343445897,496152879924.727,6.211664640783519,13.137590090433767,30.4177799224854,11106932.0,7.54,5.99,80.3853658536585,2.9393,Belgium,27.5,0.2,0.5,0.1,0.2,0.2,0.2,44670.560684510085
13860,2012,51.923828125,0.286500006914139,4.51560291399368,27084497481.9103,9.121431773520971,1.79473996162415,24.0322399139404,10569697.0,2.07,1.1,66.705,0.4528,Bolivia,46.6,11.0,23.7,3.0,5.4,6.5,10.9,2562.4667842332947
13864,2012,9.59809970855713,0.0838999971747398,10.919656944683,1781280170.44296,9.104610373977104,0.745790004730225,4.54776000976563,721145.0,2.05,1.74,69.326,0.2765,Bhutan,38.8,11.9,44.9,0.3,2.6,1.7,14.9,2470.072135899105
13869,2012,96.2765808105469,2.9372900724411,-0.692552018105236,686420221557.99,5.6852903582205006,18.60464477539065,32.3196296691895,7996861.0,4.49,4.97,82.6975609756098,3.9102,Switzerland,31.6,0.0,0.0,0.0,0.0,0.0,0.0,85836.20767673591
13885,2012,78.7048034667969,0.6257399916648867,2.38905410042319,25047433099.5891,5.270300515903925,9.917405128478979,34.1045188903809,1156556.0,11.8,3.46,80.109,2.296,Cyprus,34.3,0.0,0.1,0.0,0.0,0.0,0.0,21656.91337003059
13886,2012,99.8166580200195,0.5524599850177765,3.28762306610408,208857719320.649,5.247882521396885,14.893624782562249,17.3434906005859,10510785.0,6.98,6.93,78.0756097560976,3.6502,Czechia,26.1,0.1,0.9,0.0,0.1,0.0,0.2,19870.80121234037
13887,2012,96.7308578491211,1.275184988975525,2.00848884782951,3527143188785.16,3.90739535899718,10.8909149169922,25.6196708679199,80425823.0,5.38,8.34,80.5390243902439,3.9197,Germany,31.1,0.0,0.2,0.0,0.0,0.0,0.1,43855.85446586179
13890,2012,99.6436004638672,0.648800015449524,2.39791485664639,327148943812.137,3.528285783779555,10.5195550918579,32.2839317321777,5591572.0,7.8,3.0683333333333334,80.0512195121951,3.8243,Denmark,27.8,0.0,0.4,0.0,0.0,0.0,0.1,58507.50805178526
13909,2012,80.487663269043,0.7385150194168091,1.95419531613507,2683671716967.19,6.76717417600158,8.559414863586426,25.9517593383789,65662240.0,9.4,6.34,81.9682926829268,3.1636,France,33.1,0.1,0.3,0.0,0.0,0.1,0.1,40870.85236457346
13913,2012,99.8083190917969,0.9003350138664246,2.57323479654528,2706340967030.68,3.39179412251166,8.68155527114868,36.9503593444824,63700215.0,7.88,2.81,80.9048780487805,2.6667,United Kingdom,33.1,0.5,0.7,0.2,0.3,0.2,0.5,42485.58606953964
13914,2012,95.5943069458008,0.234569996595383,-0.943658853270966,16488819132.8835,4.614172527217335,27.3010005950928,30.1727104187012,3728874.0,19.65,2.53,72.412,4.4868,Georgia,39.0,29.6,65.5,3.0,10.0,10.7,28.3,4421.929819265413
