,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),"Inflation, consumer prices (annual %)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Gini index,GDP (current US$),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total",Population ages 65 and above (% of total population),"Cause of death, by non-communicable diseases (% of total)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Poverty gap at $6.85 a day (2017 PPP) (%),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
14009,Norway,2012,99.5041707356771,0.883610010147095,0.2,0.696864111498241,0.3,25.7,512777309840.997,0.1,0.1,5.44895932818142,9.68177032470703,0.1,33.0453707377116,5018573.0,15.5297430433133,87.6724112288554,3.12,0.2,3.97,81.4512195121951,4.236,99.8845443725586
14017,Panama,2012,61.490291595459,0.255290001630783,8.7,5.69819940307865,18.8,51.7,40429700000.0,1.1,3.1,12.3599771881362,2.37209010124207,3.5,21.3589096069336,3754862.0,6.78998322707998,69.8754188149835,3.717,8.0,2.33,76.819,1.5979,82.6293563842773
14022,Poland,2012,82.2974166870117,0.550460010766983,0.7,3.56037151702788,4.3,33.0,495230574356.743,0.1,0.3,6.03720414903758,18.33111000061035,0.2,21.7925491333008,38063164.0,14.0185205131995,90.0074379648155,10.09,1.2,6.63,76.7463414634146,2.2242,98.7421875
14026,Portugal,2012,47.2301597595215,0.452219992876053,1.5,2.77333854051579,5.5,36.0,216224240577.957,0.4,0.6,4.2520392743071,13.5167903900146,0.7,15.2353897094727,10514844.0,19.2682800729817,86.5873776278381,15.53,1.9,3.41,80.3731707317073,4.2361,88.4950714111328
14027,Paraguay,2012,42.6785202026367,0.0525100007653236,10.2,3.6759189797449,27.0,47.6,33296438408.8556,0.9,3.2,12.6445081776989,4.60771989822388,3.3,10.8557195663452,5923322.0,5.24878606970886,69.0770586906766,4.09,10.4,1.1633333333333333,72.454,1.2774,71.034309387207
14033,Romania,2012,88.9144134521484,0.0810699984431267,12.8,3.33492267693443,33.6,36.5,179132893143.417,2.2,5.2,4.43558809207205,9.26996040344238,6.2,13.2501697540283,20058035.0,15.9703066744705,92.0908813318928,6.79,13.5,6.6,74.4121951219512,2.5887,98.5394821166992
14046,Serbia,2012,85.68268775939941,0.34646333257357265,10.2,7.33038589596636,25.0,39.9,43309252921.0567,2.9,4.9,3.48539782960686,1.4941566586494466,5.3,17.778532743453972,7199077.0,18.1491051097041,94.8317607913052,24.0,10.6,5.44,74.8365853658537,2.4961,94.9150390625
14053,Slovak Republic,2012,99.3027725219727,0.8053149878978716,1.1,3.60610263522886,4.5,26.1,94623731085.6106,0.2,0.4,5.30436121699577,15.929884433746349,0.4,17.1679096221924,5407579.0,12.9902139534746,89.637049547929,13.96,1.4,5.91,76.109756097561,3.3598,99.7424392700195
14054,Slovenia,2012,96.8689804077148,1.62654995918274,0.0,2.5974138603901,0.3,25.6,46577793184.0031,0.0,0.0,7.84314369716472,13.2726097106934,0.0,23.6669502258301,2057159.0,16.6721111999204,88.3301317318423,8.84,0.1,4.54,80.1243902439024,2.5406,99.705078125
14055,Sweden,2012,88.334358215332,1.17101001739502,0.6,0.8883775069237,1.2,27.6,552483727282.802,0.4,0.4,4.82245509216902,10.5083999633789,0.5,29.9020690917969,9519374.0,18.9014028012702,90.6386642834919,7.98,0.6,2.66,81.7048780487805,3.9586,100.0
14076,Turkiye,2012,51.1371307373047,0.3471700102090835,3.2,8.89156996512164,14.8,40.2,880555912745.582,0.0,0.6,5.10500743782608,1.59450995922089,0.1,13.3758897781372,75277439.0,6.60748036340609,88.822879774528,8.15,4.4,2.66,75.678,1.7384,86.9569625854492
14115,Belgium,2013,81.5879364013672,0.53439998626709,0.2,1.11309594027537,0.5,27.7,521791015247.064,0.1,0.1,6.20055951618006,12.3793001174927,0.1,30.5247802734375,11159407.0,17.8041767384111,85.9018536923863,8.43,0.2,5.93,80.5878048780488,2.9585,93.0323715209961
14126,Bolivia,2013,51.923828125,0.251570001244545,9.3,5.73640023719613,21.8,47.6,30659338885.6729,2.3,4.4,8.87878422709081,1.4216749668121351,5.2,25.326609611511202,10743349.0,4.85781947510036,70.2540013069343,2.44,9.4,1.12,67.021,0.4671,58.5779991149902
14135,Switzerland,2013,96.6114311218262,2.9372900724411,0.0,-0.217323155115639,0.1,32.5,706234937370.968,0.0,0.0,5.69679930275473,18.60464477539065,0.0,33.97539567947388,8089346.0,17.4864159848335,89.7083775891724,4.75,0.0,4.85,82.7975609756098,4.0303,99.854211807251
